OpportunityID,Event,FieldEvent,OldValue,NewValue,Stage,Probability,StageLength,days_in_stage,CreatedDate,ModifiedDate,from_date,EditDate,EditYear,EditMonth,StageChangeDate,AccountCountry,StageDuration,Age,OldNewStage
0062000000WmU36,stage_change,Stage,Prospect,Buying Process id.,Buying Process id.,40,0 days 14:57:00.000000000,0,4/8/14 0:00,4/8/14 0:00,4/8/14 0:00,4/8/14 14:57,2014,4,,United States,797,797,"(Prospect, Buying Process id.)"
0062000000hG5UT,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 14:33:00.000000000,0,1/22/16 0:00,1/22/16 0:00,1/22/16 0:00,1/22/16 14:33,2016,1,4/26/16 0:00,Canada,48,95,"(Created, Created)"
0062000000hG5UT,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,60 days 14:25:00.000000000,60,1/22/16 0:00,3/22/16 0:00,1/22/16 0:00,3/22/16 14:25,2016,3,4/26/16 0:00,Canada,48,95,"(Prospect, Qualified)"
0062000000hG5UT,stage_change,Stage,Qualified,Re-Qualify,Closed Deferred,0,16 days 11:58:00.000000000,16,1/22/16 0:00,4/7/16 0:00,3/22/16 0:00,4/7/16 11:58,2016,4,4/26/16 0:00,Canada,48,95,"(Qualified, Re-Qualify)"
0062000000hG5UT,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,19 days 10:57:00.000000000,19,1/22/16 0:00,4/26/16 0:00,4/7/16 0:00,4/26/16 10:57,2016,4,4/26/16 0:00,Canada,48,95,"(Re-Qualify, Closed Deferred)"
0062000000WWpuf,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 08:32:00.000000000,0,3/19/14 0:00,3/19/14 0:00,3/19/14 0:00,3/19/14 8:32,2014,3,4/28/16 0:00,United States,46,771,"(Created, Created)"
0062000000WWpuf,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,0 days 08:33:00.000000000,0,3/19/14 0:00,3/19/14 0:00,3/19/14 0:00,3/19/14 8:33,2014,3,4/28/16 0:00,United States,46,771,"(Prospect, Buying Process id.)"
0062000000WWpuf,stage_change,Stage,Buying Process id.,Qualified,Closed Deferred,0,19 days 12:49:00.000000000,19,3/19/14 0:00,4/7/14 0:00,3/19/14 0:00,4/7/14 12:49,2014,4,4/28/16 0:00,United States,46,771,"(Buying Process id., Qualified)"
0062000000WWpuf,stage_change,Stage,Qualified,Prospect,Closed Deferred,0,535 days 12:30:00.000000000,535,3/19/14 0:00,9/24/15 0:00,4/7/14 0:00,9/24/15 12:30,2015,9,4/28/16 0:00,United States,46,771,"(Qualified, Prospect)"
0062000000WWpuf,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,1 days 14:16:00.000000000,1,3/19/14 0:00,9/25/15 0:00,9/24/15 0:00,9/25/15 14:16,2015,9,4/28/16 0:00,United States,46,771,"(Prospect, Qualified)"
0062000000WWpuf,stage_change,Stage,Qualified,Re-Qualify,Closed Deferred,0,32 days 13:56:00.000000000,32,3/19/14 0:00,10/27/15 0:00,9/25/15 0:00,10/27/15 13:56,2015,10,4/28/16 0:00,United States,46,771,"(Qualified, Re-Qualify)"
0062000000WWpuf,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,184 days 09:27:00.000000000,184,3/19/14 0:00,4/28/16 0:00,10/27/15 0:00,4/28/16 9:27,2016,4,4/28/16 0:00,United States,46,771,"(Re-Qualify, Closed Deferred)"
0062000000WWlJI,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 17:30:00.000000000,0,3/18/14 0:00,3/18/14 0:00,3/18/14 0:00,3/18/14 17:30,2014,3,,United States,528,378,"(Created, Created)"
0062000000WWlJI,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,0 days 17:30:00.000000000,0,3/18/14 0:00,3/18/14 0:00,3/18/14 0:00,3/18/14 17:30,2014,3,,United States,528,378,"(Prospect, Qualified)"
0062000000WWlJI,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,290 days 10:10:00.000000000,290,3/18/14 0:00,1/2/15 0:00,3/18/14 0:00,1/2/15 10:10,2015,1,,United States,528,378,"(Qualified, Closed Deferred)"
0062000000hzeYH,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 10:13:00.000000000,0,3/22/16 0:00,3/22/16 0:00,3/22/16 0:00,3/22/16 10:13,2016,3,5/10/16 0:00,United States,34,49,"(Created, Created)"
0062000000hzeYH,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,49 days 16:18:00.000000000,49,3/22/16 0:00,5/10/16 0:00,3/22/16 0:00,5/10/16 16:18,2016,5,5/10/16 0:00,United States,34,49,"(Prospect, Closed Deferred)"
0062000000i0gvu,opp_created,Created.,Created,Created,Buying Process id.,40,0 days 08:42:00.000000000,0,4/5/16 0:00,4/5/16 0:00,4/5/16 0:00,4/5/16 8:42,2016,4,5/3/16 0:00,France,41,69,"(Created, Created)"
0062000000i0gvu,stage_change,Stage,Prospect,Qualified,Buying Process id.,40,28 days 15:49:00.000000000,28,4/5/16 0:00,5/3/16 0:00,4/5/16 0:00,5/3/16 15:49,2016,5,5/3/16 0:00,France,41,69,"(Prospect, Qualified)"
0062000000i0gvu,stage_change,Stage,Qualified,Buying Process id.,Buying Process id.,40,0 days 16:14:00.000000000,0,4/5/16 0:00,5/3/16 0:00,5/3/16 0:00,5/3/16 16:14,2016,5,5/3/16 0:00,France,41,69,"(Qualified, Buying Process id.)"
0062000000fhp3B,opp_created,Created.,Created,Created,Qualified,20,0 days 10:55:00.000000000,0,10/21/15 0:00,10/21/15 0:00,10/21/15 0:00,10/21/15 10:55,2015,10,2/2/16 0:00,France,132,236,"(Created, Created)"
0062000000fhp3B,stage_change,Stage,Prospect,Qualified,Qualified,20,104 days 11:14:00.000000000,104,10/21/15 0:00,2/2/16 0:00,10/21/15 0:00,2/2/16 11:14,2016,2,2/2/16 0:00,France,132,236,"(Prospect, Qualified)"
0062000000UYg6L,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 11:22:00.000000000,0,8/2/13 0:00,8/2/13 0:00,8/2/13 0:00,8/2/13 11:22,2013,8,,United States,880,516,"(Created, Created)"
0062000000UYg6L,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,0 days 11:23:00.000000000,0,8/2/13 0:00,8/2/13 0:00,8/2/13 0:00,8/2/13 11:23,2013,8,,United States,880,516,"(Prospect, Buying Process id.)"
0062000000UYg6L,stage_change,Stage,Buying Process id.,Qualified,Closed Deferred,0,160 days 11:13:00.000000000,160,8/2/13 0:00,1/9/14 0:00,8/2/13 0:00,1/9/14 11:13,2014,1,,United States,880,516,"(Buying Process id., Qualified)"
0062000000UYg6L,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,6 days 08:54:00.000000000,6,8/2/13 0:00,1/15/14 0:00,1/9/14 0:00,1/15/14 8:54,2014,1,,United States,880,516,"(Qualified, Closed Deferred)"
0062000000WlpJV,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 16:42:00.000000000,0,4/3/14 0:00,4/3/14 0:00,4/3/14 0:00,4/3/14 16:42,2014,4,,United States,684,118,"(Created, Created)"
0062000000WlpJV,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,3 days 21:29:00.000000000,3,4/3/14 0:00,4/6/14 0:00,4/3/14 0:00,4/6/14 21:29,2014,4,,United States,684,118,"(Prospect, Qualified)"
0062000000WlpJV,stage_change,Stage,Qualified,Short List,Closed Deferred,0,3 days 15:55:00.000000000,3,4/3/14 0:00,4/9/14 0:00,4/6/14 0:00,4/9/14 15:55,2014,4,,United States,684,118,"(Qualified, Short List)"
0062000000WlpJV,stage_change,Stage,Short List,Buying Process id.,Closed Deferred,0,6 days 08:22:00.000000000,6,4/3/14 0:00,4/15/14 0:00,4/9/14 0:00,4/15/14 8:22,2014,4,,United States,684,118,"(Short List, Buying Process id.)"
0062000000WlpJV,stage_change,Stage,Buying Process id.,Qualified,Closed Deferred,0,17 days 16:36:00.000000000,17,4/3/14 0:00,5/2/14 0:00,4/15/14 0:00,5/2/14 16:36,2014,5,,United States,684,118,"(Buying Process id., Qualified)"
0062000000WlpJV,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,89 days 15:09:00.000000000,89,4/3/14 0:00,7/30/14 0:00,5/2/14 0:00,7/30/14 15:09,2014,7,,United States,684,118,"(Qualified, Closed Deferred)"
0062000000dAzRz,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 08:41:00.000000000,0,4/2/15 0:00,4/2/15 0:00,4/2/15 0:00,4/2/15 8:41,2015,4,4/25/16 0:00,United States,49,389,"(Created, Created)"
0062000000dAzRz,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,84 days 10:57:00.000000000,84,4/2/15 0:00,6/25/15 0:00,4/2/15 0:00,6/25/15 10:57,2015,6,4/25/16 0:00,United States,49,389,"(Prospect, Qualified)"
0062000000dAzRz,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,305 days 15:27:00.000000000,305,4/2/15 0:00,4/25/16 0:00,6/25/15 0:00,4/25/16 15:27,2016,4,4/25/16 0:00,United States,49,389,"(Qualified, Closed Deferred)"
0062000000ZK65L,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 10:14:00.000000000,0,7/24/14 0:00,7/24/14 0:00,7/24/14 0:00,7/24/14 10:14,2014,7,,Canada,508,308,"(Created, Created)"
0062000000ZK65L,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,3 days 11:15:00.000000000,3,7/24/14 0:00,7/27/14 0:00,7/24/14 0:00,7/27/14 11:15,2014,7,,Canada,508,308,"(Prospect, Qualified)"
0062000000ZK65L,stage_change,Stage,Qualified,Prospect,Closed Deferred,0,95 days 09:58:00.000000000,95,7/24/14 0:00,10/30/14 0:00,7/27/14 0:00,10/30/14 9:58,2014,10,,Canada,508,308,"(Qualified, Prospect)"
0062000000ZK65L,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,84 days 16:57:00.000000000,84,7/24/14 0:00,1/22/15 0:00,10/30/14 0:00,1/22/15 16:57,2015,1,,Canada,508,308,"(Prospect, Closed Deferred)"
0062000000fTfRv,opp_created,Created by lead convert,Created,Created,Short List,50,0 days 07:14:00.000000000,0,9/21/15 0:00,9/21/15 0:00,9/21/15 0:00,9/21/15 7:14,2015,9,2/5/16 0:00,United States,129,266,"(Created, Created)"
0062000000fTfRv,stage_change,Stage,Prospect,Qualified,Short List,50,4 days 13:03:00.000000000,4,9/21/15 0:00,9/25/15 0:00,9/21/15 0:00,9/25/15 13:03,2015,9,2/5/16 0:00,United States,129,266,"(Prospect, Qualified)"
0062000000fTfRv,stage_change,Stage,Qualified,Buying Process id.,Short List,50,31 days 13:27:00.000000000,31,9/21/15 0:00,10/26/15 0:00,9/25/15 0:00,10/26/15 13:27,2015,10,2/5/16 0:00,United States,129,266,"(Qualified, Buying Process id.)"
0062000000fTfRv,stage_change,Stage,Buying Process id.,Qualified,Short List,50,86 days 10:16:00.000000000,86,9/21/15 0:00,1/20/16 0:00,10/26/15 0:00,1/20/16 10:16,2016,1,2/5/16 0:00,United States,129,266,"(Buying Process id., Qualified)"
0062000000fTfRv,stage_change,Stage,Qualified,Short List,Short List,50,16 days 10:13:00.000000000,16,9/21/15 0:00,2/5/16 0:00,1/20/16 0:00,2/5/16 10:13,2016,2,2/5/16 0:00,United States,129,266,"(Qualified, Short List)"
0062000000gqpNe,opp_created,Created.,Created,Created,Negotiation/Review,80,0 days 07:24:00.000000000,0,12/15/15 0:00,12/15/15 0:00,12/15/15 0:00,12/15/15 7:24,2015,12,6/7/16 0:00,France,6,181,"(Created, Created)"
0062000000gqpNe,stage_change,Stage,Prospect,Buying Process id.,Negotiation/Review,80,49 days 11:08:00.000000000,49,12/15/15 0:00,2/2/16 0:00,12/15/15 0:00,2/2/16 11:08,2016,2,6/7/16 0:00,France,6,181,"(Prospect, Buying Process id.)"
0062000000gqpNe,stage_change,Stage,Buying Process id.,Short List,Negotiation/Review,80,63 days 09:38:00.000000000,63,12/15/15 0:00,4/5/16 0:00,2/2/16 0:00,4/5/16 9:38,2016,4,6/7/16 0:00,France,6,181,"(Buying Process id., Short List)"
0062000000gqpNe,stage_change,Stage,Short List,Chosen Vendor,Negotiation/Review,80,23 days 11:45:00.000000000,23,12/15/15 0:00,4/28/16 0:00,4/5/16 0:00,4/28/16 11:45,2016,4,6/7/16 0:00,France,6,181,"(Short List, Chosen Vendor)"
0062000000gqpNe,stage_change,Stage,Chosen Vendor,Negotiation/Review,Negotiation/Review,80,40 days 11:47:00.000000000,40,12/15/15 0:00,6/7/16 0:00,4/28/16 0:00,6/7/16 11:47,2016,6,6/7/16 0:00,France,6,181,"(Chosen Vendor, Negotiation/Review)"
0062000000hEKAe,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 09:04:00.000000000,0,1/11/16 0:00,1/11/16 0:00,1/11/16 0:00,1/11/16 9:04,2016,1,2/17/16 0:00,United States,117,154,"(Created, Created)"
0062000000hEKAe,stage_change,Stage,Prospect,Qualified,Qualified,20,37 days 10:08:00.000000000,37,1/11/16 0:00,2/17/16 0:00,1/11/16 0:00,2/17/16 10:08,2016,2,2/17/16 0:00,United States,117,154,"(Prospect, Qualified)"
0062000000TtFb6,opp_created,Created.,Created,Created,Qualified,20,0 days 16:22:00.000000000,0,5/3/16 0:00,5/3/16 0:00,5/3/16 0:00,5/3/16 16:22,2016,5,,France,41,41,"(Created, Created)"
0062000000c2Y1h,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 11:14:00.000000000,0,2/5/15 0:00,2/5/15 0:00,2/5/15 0:00,2/5/15 11:14,2015,2,,United Kingdom,382,329,"(Created, Created)"
0062000000c2Y1h,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,105 days 07:30:00.000000000,105,2/5/15 0:00,5/21/15 0:00,2/5/15 0:00,5/21/15 7:30,2015,5,,United Kingdom,382,329,"(Prospect, Buying Process id.)"
0062000000c2Y1h,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,7 days 07:06:00.000000000,7,2/5/15 0:00,5/28/15 0:00,5/21/15 0:00,5/28/15 7:06,2015,5,,United Kingdom,382,329,"(Buying Process id., Closed Deferred)"
0062000000WkPrt,opp_created,Created by lead convert,Created,Created,Closed Won,100,0 days 09:30:00.000000000,0,3/26/14 0:00,3/26/14 0:00,3/26/14 0:00,3/26/14 9:30,2014,3,5/31/16 0:00,United Kingdom,13,797,"(Created, Created)"
0062000000WkPrt,stage_change,Stage,Prospect,Buying Process id.,Closed Won,100,20 days 03:06:00.000000000,20,3/26/14 0:00,4/15/14 0:00,3/26/14 0:00,4/15/14 3:06,2014,4,5/31/16 0:00,United Kingdom,13,797,"(Prospect, Buying Process id.)"
0062000000WkPrt,stage_change,Stage,Buying Process id.,Qualified,Closed Won,100,110 days 20:17:00.000000000,110,3/26/14 0:00,8/3/14 0:00,4/15/14 0:00,8/3/14 20:17,2014,8,5/31/16 0:00,United Kingdom,13,797,"(Buying Process id., Qualified)"
0062000000WkPrt,stage_change,Stage,Qualified,Buying Process id.,Closed Won,100,232 days 10:46:00.000000000,232,3/26/14 0:00,3/23/15 0:00,8/3/14 0:00,3/23/15 10:46,2015,3,5/31/16 0:00,United Kingdom,13,797,"(Qualified, Buying Process id.)"
0062000000WkPrt,stage_change,Stage,Buying Process id.,Short List,Closed Won,100,207 days 07:22:00.000000000,207,3/26/14 0:00,10/16/15 0:00,3/23/15 0:00,10/16/15 7:22,2015,10,5/31/16 0:00,United Kingdom,13,797,"(Buying Process id., Short List)"
0062000000WkPrt,stage_change,Stage,Short List,Buying Process id.,Closed Won,100,4 days 11:32:00.000000000,4,3/26/14 0:00,10/20/15 0:00,10/16/15 0:00,10/20/15 11:32,2015,10,5/31/16 0:00,United Kingdom,13,797,"(Short List, Buying Process id.)"
0062000000WkPrt,stage_change,Stage,Buying Process id.,Short List,Closed Won,100,35 days 05:26:00.000000000,35,3/26/14 0:00,11/24/15 0:00,10/20/15 0:00,11/24/15 5:26,2015,11,5/31/16 0:00,United Kingdom,13,797,"(Buying Process id., Short List)"
0062000000WkPrt,stage_change,Stage,Short List,Chosen Vendor,Closed Won,100,107 days 11:00:00.000000000,107,3/26/14 0:00,3/10/16 0:00,11/24/15 0:00,3/10/16 11:00,2016,3,5/31/16 0:00,United Kingdom,13,797,"(Short List, Chosen Vendor)"
0062000000WkPrt,stage_change,Stage,Chosen Vendor,Negotiation/Review,Closed Won,100,13 days 12:55:00.000000000,13,3/26/14 0:00,3/23/16 0:00,3/10/16 0:00,3/23/16 12:55,2016,3,5/31/16 0:00,United Kingdom,13,797,"(Chosen Vendor, Negotiation/Review)"
0062000000WkPrt,stage_change,Stage,Negotiation/Review,Closed Won,Closed Won,100,69 days 14:29:00.000000000,69,3/26/14 0:00,5/31/16 0:00,3/23/16 0:00,5/31/16 14:29,2016,5,5/31/16 0:00,United Kingdom,13,797,"(Negotiation/Review, Closed Won)"
0062000000Pp10j,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 09:55:00.000000000,0,10/18/12 0:00,10/18/12 0:00,10/18/12 0:00,10/18/12 9:55,2012,10,,United Kingdom,797,804,"(Created, Created)"
0062000000Pp10j,stage_change,Stage,Prospect,Short List,Closed Deferred,0,0 days 09:56:00.000000000,0,10/18/12 0:00,10/18/12 0:00,10/18/12 0:00,10/18/12 9:56,2012,10,,United Kingdom,797,804,"(Prospect, Short List)"
0062000000Pp10j,stage_change,Stage,Short List,Qualified,Closed Deferred,0,162 days 13:35:00.000000000,162,10/18/12 0:00,3/29/13 0:00,10/18/12 0:00,3/29/13 13:35,2013,3,,United Kingdom,797,804,"(Short List, Qualified)"
0062000000Pp10j,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,375 days 11:32:00.000000000,375,10/18/12 0:00,4/8/14 0:00,3/29/13 0:00,4/8/14 11:32,2014,4,,United Kingdom,797,804,"(Qualified, Closed Deferred)"
0062000000hdnKQ,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 16:25:00.000000000,0,2/9/16 0:00,2/9/16 0:00,2/9/16 0:00,2/9/16 16:25,2016,2,,United Kingdom,125,125,"(Created, Created)"
0062000000hzZmh,opp_created,Created by lead convert,Created,Created,Buying Process id.,40,0 days 14:12:00.000000000,0,3/21/16 0:00,3/21/16 0:00,3/21/16 0:00,3/21/16 14:12,2016,3,5/9/16 0:00,United States,35,84,"(Created, Created)"
0062000000hzZmh,stage_change,Stage,Prospect,Qualified,Buying Process id.,40,29 days 10:14:00.000000000,29,3/21/16 0:00,4/19/16 0:00,3/21/16 0:00,4/19/16 10:14,2016,4,5/9/16 0:00,United States,35,84,"(Prospect, Qualified)"
0062000000hzZmh,stage_change,Stage,Qualified,Buying Process id.,Buying Process id.,40,20 days 12:12:00.000000000,20,3/21/16 0:00,5/9/16 0:00,4/19/16 0:00,5/9/16 12:12,2016,5,5/9/16 0:00,United States,35,84,"(Qualified, Buying Process id.)"
0062000000hGM2x,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 14:11:00.000000000,0,1/25/16 0:00,1/25/16 0:00,1/25/16 0:00,1/25/16 14:11,2016,1,2/11/16 0:00,United States,123,140,"(Created, Created)"
0062000000hGM2x,stage_change,Stage,Prospect,Qualified,Qualified,20,17 days 17:41:00.000000000,17,1/25/16 0:00,2/11/16 0:00,1/25/16 0:00,2/11/16 17:41,2016,2,2/11/16 0:00,United States,123,140,"(Prospect, Qualified)"
0062000000WkNYY,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 06:52:00.000000000,0,3/26/14 0:00,3/26/14 0:00,3/26/14 0:00,3/26/14 6:52,2014,3,,United States,724,461,"(Created, Created)"
0062000000WkNYY,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,0 days 08:23:00.000000000,0,3/26/14 0:00,3/26/14 0:00,3/26/14 0:00,3/26/14 8:23,2014,3,,United States,724,461,"(Prospect, Qualified)"
0062000000WkNYY,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,86 days 10:50:00.000000000,86,3/26/14 0:00,6/20/14 0:00,3/26/14 0:00,6/20/14 10:50,2014,6,,United States,724,461,"(Qualified, Closed Deferred)"
0062000000c1TXc,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 19:05:00.000000000,0,1/29/15 0:00,1/29/15 0:00,1/29/15 0:00,1/29/15 19:05,2015,1,5/12/16 0:00,United States,32,468,"(Created, Created)"
0062000000c1TXc,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,49 days 16:17:00.000000000,49,1/29/15 0:00,3/19/15 0:00,1/29/15 0:00,3/19/15 16:17,2015,3,5/12/16 0:00,United States,32,468,"(Prospect, Qualified)"
0062000000c1TXc,stage_change,Stage,Qualified,Buying Process id.,Closed Deferred,0,18 days 13:22:00.000000000,18,1/29/15 0:00,4/6/15 0:00,3/19/15 0:00,4/6/15 13:22,2015,4,5/12/16 0:00,United States,32,468,"(Qualified, Buying Process id.)"
0062000000c1TXc,stage_change,Stage,Buying Process id.,Prospect,Closed Deferred,0,119 days 15:56:00.000000000,119,1/29/15 0:00,8/3/15 0:00,4/6/15 0:00,8/3/15 15:56,2015,8,5/12/16 0:00,United States,32,468,"(Buying Process id., Prospect)"
0062000000c1TXc,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,9 days 16:36:00.000000000,9,1/29/15 0:00,8/12/15 0:00,8/3/15 0:00,8/12/15 16:36,2015,8,5/12/16 0:00,United States,32,468,"(Prospect, Buying Process id.)"
0062000000c1TXc,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,274 days 18:13:00.000000000,274,1/29/15 0:00,5/12/16 0:00,8/12/15 0:00,5/12/16 18:13,2016,5,5/12/16 0:00,United States,32,468,"(Buying Process id., Closed Deferred)"
0062000000NKuu9,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 16:23:00.000000000,0,3/31/12 0:00,3/31/12 0:00,3/31/12 0:00,3/31/12 16:23,2012,3,,United States,1274,454,"(Created, Created)"
0062000000NKuu9,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,0 days 16:24:00.000000000,0,3/31/12 0:00,3/31/12 0:00,3/31/12 0:00,3/31/12 16:24,2012,3,,United States,1274,454,"(Prospect, Buying Process id.)"
0062000000NKuu9,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,261 days 09:25:00.000000000,261,3/31/12 0:00,12/17/12 0:00,3/31/12 0:00,12/17/12 9:25,2012,12,,United States,1274,454,"(Buying Process id., Closed Deferred)"
0062000000XZM0v,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 12:35:00.000000000,0,5/28/15 0:00,5/28/15 0:00,5/28/15 0:00,5/28/15 12:35,2015,5,10/13/15 0:00,Czech Republic,244,277,"(Created, Created)"
0062000000XZM0v,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,4 days 04:11:00.000000000,4,5/28/15 0:00,6/1/15 0:00,5/28/15 0:00,6/1/15 4:11,2015,6,10/13/15 0:00,Czech Republic,244,277,"(Prospect, Qualified)"
0062000000XZM0v,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,134 days 11:22:00.000000000,134,5/28/15 0:00,10/13/15 0:00,6/1/15 0:00,10/13/15 11:22,2015,10,10/13/15 0:00,Czech Republic,244,277,"(Qualified, Closed Deferred)"
0062000000WkPPF,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 08:43:00.000000000,0,3/26/14 0:00,3/26/14 0:00,3/26/14 0:00,3/26/14 8:43,2014,3,,Canada,810,5,"(Created, Created)"
0062000000WkPPF,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,0 days 13:29:00.000000000,0,3/26/14 0:00,3/26/14 0:00,3/26/14 0:00,3/26/14 13:29,2014,3,,Canada,810,5,"(Prospect, Closed Deferred)"
0062000000XvfX0,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 10:03:00.000000000,0,5/28/14 0:00,5/28/14 0:00,5/28/14 0:00,5/28/14 10:03,2014,5,4/28/16 0:00,United States,46,701,"(Created, Created)"
0062000000XvfX0,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,43 days 14:27:00.000000000,43,5/28/14 0:00,7/10/14 0:00,5/28/14 0:00,7/10/14 14:27,2014,7,4/28/16 0:00,United States,46,701,"(Prospect, Qualified)"
0062000000XvfX0,stage_change,Stage,Qualified,Buying Process id.,Closed Deferred,0,271 days 16:46:00.000000000,271,5/28/14 0:00,4/7/15 0:00,7/10/14 0:00,4/7/15 16:46,2015,4,4/28/16 0:00,United States,46,701,"(Qualified, Buying Process id.)"
0062000000XvfX0,stage_change,Stage,Buying Process id.,Short List,Closed Deferred,0,63 days 00:54:00.000000000,63,5/28/14 0:00,6/9/15 0:00,4/7/15 0:00,6/9/15 0:54,2015,6,4/28/16 0:00,United States,46,701,"(Buying Process id., Short List)"
0062000000XvfX0,stage_change,Stage,Short List,Buying Process id.,Closed Deferred,0,105 days 10:11:00.000000000,105,5/28/14 0:00,9/22/15 0:00,6/9/15 0:00,9/22/15 10:11,2015,9,4/28/16 0:00,United States,46,701,"(Short List, Buying Process id.)"
0062000000XvfX0,stage_change,Stage,Buying Process id.,Re-Qualify,Closed Deferred,0,150 days 12:01:00.000000000,150,5/28/14 0:00,2/19/16 0:00,9/22/15 0:00,2/19/16 12:01,2016,2,4/28/16 0:00,United States,46,701,"(Buying Process id., Re-Qualify)"
0062000000XvfX0,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,69 days 10:57:00.000000000,69,5/28/14 0:00,4/28/16 0:00,2/19/16 0:00,4/28/16 10:57,2016,4,4/28/16 0:00,United States,46,701,"(Re-Qualify, Closed Deferred)"
0062000000hzI1W,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 13:26:00.000000000,0,3/17/16 0:00,3/17/16 0:00,3/17/16 0:00,3/17/16 13:26,2016,3,,United States,88,88,"(Created, Created)"
0062000000bLk3L,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 13:40:00.000000000,0,12/15/14 0:00,12/15/14 0:00,12/15/14 0:00,12/15/14 13:40,2014,12,4/5/16 0:00,United States,69,477,"(Created, Created)"
0062000000bLk3L,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,45 days 12:02:00.000000000,45,12/15/14 0:00,1/29/15 0:00,12/15/14 0:00,1/29/15 12:02,2015,1,4/5/16 0:00,United States,69,477,"(Prospect, Qualified)"
0062000000bLk3L,stage_change,Stage,Qualified,Prospect,Closed Deferred,0,264 days 10:12:00.000000000,264,12/15/14 0:00,10/20/15 0:00,1/29/15 0:00,10/20/15 10:12,2015,10,4/5/16 0:00,United States,69,477,"(Qualified, Prospect)"
0062000000bLk3L,stage_change,Stage,Prospect,Re-Qualify,Closed Deferred,0,7 days 13:56:00.000000000,7,12/15/14 0:00,10/27/15 0:00,10/20/15 0:00,10/27/15 13:56,2015,10,4/5/16 0:00,United States,69,477,"(Prospect, Re-Qualify)"
0062000000bLk3L,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,161 days 08:47:00.000000000,161,12/15/14 0:00,4/5/16 0:00,10/27/15 0:00,4/5/16 8:47,2016,4,4/5/16 0:00,United States,69,477,"(Re-Qualify, Closed Deferred)"
0062000000YcBYY,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 11:42:00.000000000,0,7/13/14 0:00,7/13/14 0:00,7/13/14 0:00,7/13/14 11:42,2014,7,,United States,418,282,"(Created, Created)"
